X;Y;OBJECTID;Comunidad_;Provincia;Isla;Código_IN;Término_M;Web_munici;Identifica;Nombre;Nombre_alt;Nombre_a_1;Descripci;Longitud;Anchura;Variación;Grado_ocup;Grado_urba;Paseo_mar;Tipo_paseo;Tipo_de_ar;Condicione;Zona_fonde;Nudismo;Vegetació;Vegetaci_1;Actuacione;Actuacio_1;Bandera_az;Auxilio_y_;Auxilio_y1;Señalizac;Señaliza_;Forma_de_a;Señaliza1;Acceso_dis;Carretera_;Autobús;Autobús_t;Aparcamien;Aparcami_1;Aparcami_2;Aseos;Lavapies;Duchas;Teléfonos;Papelera;Servicio_l;Alquiler_s;Alquiler_h;Alquiler_n;Oficina_tu;Establecim;Establec_1;Zona_infan;Zona_depor;Club_naút;Submarinis;Zona_Surf;Observacio;Coordenada;Coordena_1;Huso;Coordena_2;Coordena_3;Puerto_dep;Web_puerto;Distancia_;Hospital;Dirección;Teléfono_;Distancia1;Composici;Fachada_Li;Espacio_pr;Espacio__1;Coordena_4;Coordena_5;URL_MAGRAM
-2,2316E+14;3,67659E+14;11;Andalucía;Almería; ;4013;Almería;http://www.aytoalmeria.es;21;Las Salinas de Cabo de Gata; ; ;Playa con una excelente arena, localizada muy cerca de una zona de marismas por lo que alberga gran cantidad de aves muy interesantes. Pertenece al Parque Natural Marítimo Terrestre de Cabo de Gata-Níjar, recientemente declarado Reserva de la Biosfera.;2.500;95;Poca;Medio;Aislada;No; ;Blanca;Oleaje moderado / Ventosa;No;No;Sí;Detrás de la playa;No; ;No;No; ;Sí; ;Coche;Sí;No;AL- 3115;Sí;Interurbano;Sí;No vigilado;Más de 100 plazas;No;No;No;No;Sí;Sí;No;No;No;Sí;Sí;Sí;No;No;No;No;No;Emergencias (112). Protección Civil (950-228-611). Policía Local (092);568579;4069179;30;02º 13' 53,895'' W;36º 45' 57,434'' N;Club Náutico de San José;http://www.clubnauticodesanjose.com;24 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;15 km.;Arena;Humedal;Sí;Parque Natural / Reserva de la Biosfera;-22316;367659;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=21
-2,4373E+14;3,68173E+14;12;Andalucía;Almería; ;4013;Almería;http://www.aytoalmeria.es;22;Nueva Almería; ; ;Esta playa se encuentra unida a la Playa de San Miguel, y comparte todos sus servicios, instalaciones y ofertas de ocio.;1.500;45;Poca;Alto;Urbana;Sí;Completo;Oscura;Aguas tranquilas;No;No;No; ;No; ;Sí;Sí; ;Sí; ;Coche;Sí;Sí;AL-3202;Sí;Urbano;Sí;No vigilado;Más de 100 plazas;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No;No;Emergencias (112). Protección Civil (950-228-611). Policía Local (092);550187;4074753;30;02º 26' 14,585'' W;36º 49' 02,378'' N;Club de Mar de Almería;http://clubdemaralmeria.es;2,5 km.;Hospital de Torrecárdenas;Paraje de Torrecárdenas, s/n (Almería);950016000;5 km.;Arena;Urbana;No; ;-24373;368173;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=22
-2,3147E+14;3,68318E+14;13;Andalucía;Almería; ;4013;Almería;http://www.aytoalmeria.es;23;Retamar; ; ;La Playa de Retamar toma su nombre de una urbanización cercana, y cuenta con los equipamientos propios de una playa preparada para el turismo.;1.250;45;Poca;Alto;Urbana;Sí;Completo;Oscura;Oleaje moderado / Ventosa;Sí;No;No; ;No; ;No;Sí; ;Sí; ;Coche;Sí;Sí;AL- 3115;Sí;Urbano;Sí;No vigilado;Más de 100 plazas;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;No;Sí;Sí;No;Sí;No;No;No;Galardonada desde 2009 con la ISO 9001. Dispone de infraestructuras adaptadas (silla anfibia, etc.) e instalaciones para sombra con pérgolas con toldos y paneles de madera en el suelo. Protección Civil (950-228-611). Policía Local (092). Emergencias (;561110;4076433;30;02º 18' 53,221'' W;36º 49' 54,804'' N;Club de Mar de Almería;http://clubdemaralmeria.es;15 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;3 km.;Arena / Grava;Urbana;No; ;-23147;368318;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=23
-2,4496E+14;3,68256E+14;14;Andalucía;Almería; ;4013;Almería;http://www.aytoalmeria.es;24;Zapillo;Las Conchas; ;Playa urbana que presenta un elevado grado de ocupación y dotada de infraestructuras, servicios y ofertas de ocio muy atractivas para el turismo.;1.550;40;Poca;Alto;Urbana;Sí;Completo;Oscura;Aguas tranquilas;No;No;No; ;Sí;Regeneración de playa;No;Sí; ;Sí; ;Coche;Sí;Sí;AL-3202;Sí;Urbano;Sí;No vigilado;Más de 100 plazas;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;"Galardonada desde 2009 con la ""Q"" de Calidad Turística y la ISO 9001. . Dispone de infraestructuras adaptadas (silla anfibia, etc.) e instalaciones para sombra con pérgolas con toldos y paneles de madera en el suelo. Protección Civil (950-228-611). Po";549084;4075667;30;02º 26' 58,729'' W;36º 49' 32,409'' N;Club de Mar de Almería;http://clubdemaralmeria.es;0 km.;Hospital de Torrecárdenas;Paraje de Torrecárdenas, s/n (Almería);950016000;4 km.;Arena;Urbana;No; ;-24496;368256;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=24
-2,2454E+14;3,67802E+14;15;Andalucía;Almería; ;4013;Almería;http://www.aytoalmeria.es;25;San Miguel de Cabo de Gata; ; ;Playa tranquila de excelente calidad con buenos servicios y entorno natural privilegiado. Pertenece al Parque Natural Marítimo Terrestre de Cabo de Gata-Níjar. Declarada Reserva de la Biosfera.;2.500;90;Poca;Alto;Urbana;Sí;Completo;Oscura;Oleaje moderado / Ventosa;Sí;No;No; ;No; ;Sí;Sí; ;Sí; ;Coche;Sí;Sí;AL- 3115;Sí;Interurbano;Sí;No vigilado;Más de 100 plazas;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;No;No;No;"Galardonada desde 2009 con la ""Q"" de Calidad Turística y la ISO 9001. Dispone de infraestructuras adaptadas (silla anfibia, etc.) e instalaciones para sombra con pérgolas con toldos y paneles de madera en el suelo. Protección Civil (950-228-611). Poli";567335;4070755;30;02º 14' 43,660'' W;36º 46' 48,760'' N;Club Náutico de San José;http://www.clubnauticodesanjose.com;22 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;14 km.;Arena;Urbana;Sí;Parque Natural / Reserva de la Biosfera;-22454;367802;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=25
-2,4942E+14;3,68286E+12;16;Andalucía;Almería; ;4013;Almería;http://www.aytoalmeria.es;26;San Telmo; ; ;Playa de difícil acceso por un terraplén pronunciado algo peligroso que carece de cualquier tipo de servicio.;100;20;Poca;Bajo;Aislada;No; ;Oscura;Aguas tranquilas;No;No;No; ;No; ;No;No; ;No; ;A pie difícil;Sí;No;N-340a;No; ;No; ; ;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Emergencias (112). Protección Civil (950-228-611). Policía Local (092);545105;4075978;30;02º 29' 39,322'' W;36º 49' 43,314'' N;Club de Mar de Almería;http://clubdemaralmeria.es;3 km.;Hospital de Torrecárdenas;Paraje de Torrecárdenas, s/n (Almería);950016000;5 km.;Arena / Grava;Montaña / Acantilado;No; ;-24942;368286;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=26
-2,3E+14;3,68249E+14;17;Andalucía;Almería; ;4013;Almería;http://www.aytoalmeria.es;27;Torregarcía; ; ;Esta playa debe su nombre al Santuario Torre García, situado en la misma playa, y está ubicada en el límite sur del Parque Natural del Cabo de Gata-Níjar. Pertenece al Parque Natural Marítimo Terrestre de Cabo de Gata-Níjar, recientemente declarado;1.800;90;Poca;Bajo;Aislada;No; ;Oscura;Oleaje moderado / Ventosa;No;No;No; ;No; ;No;No; ;No; ;Coche;No;No;AL- 3115;Sí;Interurbano;Sí;No vigilado;Más de 100 plazas;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;Emergencias (112). Protección Civil (950-228-611). Policía Local (092);562426;4075677;30;02º 18' 00,037'' W;36º 49' 29,733'' N;Club de Mar de Almería;http://clubdemaralmeria.es;15 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;4 km.;Arena / Grava;Dunas;Sí;Parque Natural / Reserva de la Biosfera;-23;368249;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=27
-2,9087E+14;3,67445E+14;18;Andalucía;Almería; ;4904;Balanegra;http://www.balanegra.es;28;Balanegra; ; ;Se encuentra ubicada en una zona semiurbana donde abundan los invernaderos de plásticos.;2.600;50;Poca;Medio;Semiurbana;Sí;Parcial;Oscura;Oleaje moderado / Ventosa;Sí;No;No; ;Sí;Regeneración de playa;Sí;Sí; ;Sí; ;Coche;Sí;Sí;Autovía del Mediterráneo (E-15);Sí;Interurbano;Sí;No vigilado;Más de 100 plazas;Sí;Sí;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Sí;Sí;No;Sí;No;No;No;Dispone de infraestructuras adaptadas (silla anfibia, etc.) e instalaciones para sombra con pérgolas de madera y paneles de madera en el suelo. Policía Local (950-606-132). Emergencias (112).;508151;4066533;30;02º 54' 31,344'' W;36º 44' 40,446'' N;Puertos Deportivos de Adra y Almerimar; ;10 km.;Hospital de Poniente;Ctra. de Almerimar, s/n (El Ejido);950022500;12 km.;Arena / Grava;Urbana;No; ;-29087;367445;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=28
-1,8768E+12;3,70337E+14;19;Andalucía;Almería; ;4032;Carboneras;http://www.carboneras.es;29;El Algarrobico; ; ;Playa aislada en estado casi virgen donde se puede disfrutar de aguas cristalinas y una gran tranquilidad. Perteneciente al Parque Natural Marítimo Terrestre Cabo de Gata-Níjar, recientemente declarado Reserva de la Biosfera.;1.350;37;Poca;Bajo;Aislada;No; ;Dorada;Aguas tranquilas;No;No;No; ;No; ;No;No; ;Sí; ;Coche;Sí;No;AL- 5105;Sí;Interurbano;Sí;No vigilado;Entre 50 y 100 plazas;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;Emergencias (112). Protección Civil (950-136-112). Policía Local (950-136-136);599896;4099201;30;01º 52' 36,610'' W;37º 02' 01,487'' N;Club Náutico Isla de San Andrés (Carboneras );http://www.clubnauticocarboneras.com;4 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;50 km.;Arena / Grava;Montaña;Sí;Parque Natural / Reserva de la Biosfera;-18768;370337;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=29
-1,8891E+14;3,70032E+14;20;Andalucía;Almería; ;4032;Carboneras;http://www.carboneras.es;30;El Ancón; ; ;Playa urbana con gran calidad y disponibilidad de sus servicios e infraestructuras.;1.700;40;Poca;Alto;Urbana;Sí;Parcial;Oscura;Aguas tranquilas;Sí;No;No; ;Sí;Regeneración de playa;Sí;Sí; ;Sí; ;A pie fácil / Coche;Sí;Sí;AL- 5105;Sí;Interurbano;Sí;No vigilado;Menos de 50 plazas;Sí;Sí;Sí;No;Sí;Sí;No;No;Sí;No;Sí;Sí;Sí;Sí;No;No;No;"Galardonada en 2014 con la ""Q"" de Calidad Turística.Dispone de infraestructuras adaptadas (silla anfibia, etc.) e instalaciones para sombra con pérgolas con toldos y paneles de madera en el suelo. Protección Civil (950-136-112). Policía Local (950-13";598841;4095804;30;01º 53' 21,020'' W;37º 00' 11,870'' N;Club Náutico Isla de San Andrés (Carboneras );http://www.clubnauticocarboneras.com;1 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;50 km.;Arena;Urbana;No; ;-18891;370032;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=30
-1,8794E+14;3,70239E+13;21;Andalucía;Almería; ;4032;Carboneras;http://www.carboneras.es;31;La Galera; ; ;Playa con una composición muy irregular, en la que se alternan piedras con arena de color gris y grava. Recibe a un reducido número de bañistas.;800;15;Poca;Bajo;Aislada;No; ;Oscura;Oleaje moderado;No;No;No; ;No; ;No;No; ;Sí; ;Coche;Sí;No;AL- 5105;Sí;Interurbano;No; ; ;No;No;No;No;Sí;Sí;No;No;No;No;No;No;No;No;No;No;No;Emergencias (112). Protección Civil (950-136-112). Policía Local (950-136-136);599677;4098111;30;01º 52' 46,113'' W;37º 01' 26,337'' N;Club Náutico Isla de San Andrés (Carboneras );http://www.clubnauticocarboneras.com;2 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;50 km.;Arena / Bolos / Grava;Montaña;No; ;-18794;370239;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=31
-1,9017E+13;3,69849E+14;22;Andalucía;Almería; ;4032;Carboneras;http://www.carboneras.es;32;Las Marinicas; ; ;La Playa de las Marinicas se sitúa entre el puerto industrial y el puerto pesquero de Carboneras y tiene una gran afluencia de practicantes de submarinismo.;1.330;75;Poca;Alto;Urbana;Sí; ;Dorada;Aguas tranquilas;Sí;No;No; ;No; ;Sí;Sí; ;Sí; ;Coche;Sí;Sí;AL- 5106;Sí;Interurbano;Sí;No vigilado;Más de 100 plazas;Sí;Sí;Sí;Sí;Sí;Sí;No;No;No;Sí;Sí;No;Sí;Sí;No;No;No;"Galardonada en 2014 con la ""Q"" de Calidad Turística.Dispone de infraestructuras adaptadas (silla anfibia, etc.) e instalaciones para sombra con pérgolas con toldos y paneles de madera en el suelo. Protección Civil (950-136-112). Policía Local (950-13";597743;4093761;30;01º 54' 06,460'' W;36º 59' 05,910'' N;Club Náutico Isla de San Andrés (Carboneras );http://www.clubnauticocarboneras.com;0 km.;Hospital de Alta Resolución El Toyo;Camino de la Botica s/n, 04131 Almería;950158015;50 km.;Arena;Semiurbana;No; ;-19017;369849;https://sig.miteco.gob.es/93/ClienteWS/Guia-Playas/Default.aspx?nombre=PLAYAS_WEB&claves=DGC.PLAYAS.PLY_CO_PLAYA&valores=32
